DCA License Number,License Type,License Expiration Date,License Status,License Creation Date,Industry,Business Name,Business Name 2,Address Building,Address Street Name,Secondary Address Street Name,Address City,Address State,Address ZIP,Contact Phone Number,Address Borough,Borough Code,Community Board,Council District,BIN,BBL,NTA,Census Tract,Detail,Longitude,Latitude,Location
1474233-DCA,Business,2021-01-31,Active,2013-09-26,Debt Collection Agency,THE RECEIVABLE MANAGEMENT SERVICES CORPORATION,,305,FELLOWSHIP RD,,MOUNT LAUREL,NJ,08054,866-490-3593,Outside NYC,,,,,,,,,,,
2036041-DCA,Business,2021-01-31,Active,2016-04-14,Debt Collection Agency,"CARTER-YOUNG, INC",,882,N MAIN ST NW,,CONYERS,GA,30012,678-995-4242,Outside NYC,,,,,,,,,,,
2058501-DCA,Business,2019-01-31,Inactive,2017-09-21,Debt Collection Agency,"DIVERSIFIED CONSULTANTS, INC.",,5120,INTERCHANGE WAY,,LOUISVILLE,KY,40229,904-247-5500,Outside NYC,,,,,,,,,,,
2027434-DCA,Business,2021-01-31,Active,2015-08-21,Debt Collection Agency,Penn Credit Corporation,,4636,E UNIVERSITY DR,,PHOENIX,AZ,85034,7172387124,Outside NYC,,,,,,,,,,,
2038109-DCA,Business,2021-01-31,Active,2016-05-24,Debt Collection Agency,"NEW ERA ASSET MANAGEMENT, LLC",,701,SENECA ST,,BUFFALO,NY,14210,716-362-0533,Outside NYC,,,,,,,,,,,
2048140-DCA,Business,2021-01-31,Active,2017-02-07,Debt Collection Agency,"Enhanced Recovery Company, LLC",Enhanced Resource Centers; ERC,1750,WELLS RD,,ORANGE PARK,FL,32073,9046802591,Outside NYC,,,,,,,,,,,
2022541-DCA,Business,2021-01-31,Active,2015-05-11,Debt Collection Agency,PERFORMANCE PORTFOLIO MANAGEMENT INC,,775,PARK AVE,,HUNTINGTON,NY,11743,631-425-2555,Outside NYC,,,,,,,,,,,
2058510-DCA,Business,2021-01-31,Active,2017-09-21,Debt Collection Agency,GATESTONE & CO. INTERNATIONAL INC.,,7171,MERCY RD,,OMAHA,NE,68106,4169692187,Outside NYC,,,,,,,,,,,
2003513-DCA,Business,2021-01-31,Active,2014-02-12,Debt Collection Agency,"LoanCare, LLC",,601,RIVERSIDE AVE,,JACKSONVILLE,FL,32204,4127762999,Outside NYC,,,,,,,,,,,
2016925-DCA,Business,2019-01-31,Inactive,2014-12-30,Debt Collection Agency,CENTRAL CREDIT SERVICES LLC,,1111,MONTGOMERY ST,,DECORAH,IA,52101,,Outside NYC,,,,,,,,,,,
2057305-DCA,Business,2019-01-31,Inactive,2017-08-22,Debt Collection Agency,"AQUA FINANCE, INC.",,1,CORPORATE DR,,WAUSAU,WI,54401,7158485425,Outside NYC,,,,,,,,,,,
2044036-DCA,Business,2021-01-31,Active,2016-09-22,Debt Collection Agency,"RAS LAVRAR, LLC",,1133,S UNIVERSITY DR,,PLANTATION,FL,33324,5616130067,Outside NYC,,,,,,,,,,,
1202819-DCA,Business,2019-01-31,Inactive,2011-02-25,Debt Collection Agency,"DIVERSIFIED CONSULTANTS, INC.",,10550,DWD PK BLVD,,JACKSONVILLE,FL,32256,904-247-5500,Outside NYC,,,,,,,,,,,
2026306-DCA,Business,2021-01-31,Active,2015-07-29,Debt Collection Agency,"FinFit Ops, LLC",,272,BENDIX RD,,VIRGINIA BEACH,VA,23452,,Outside NYC,,,,,,,,,,,
2088702-DCA,Business,2019-08-17,Inactive,2019-07-25,Amusement Device Temporary,IDEKO PRODUCTIONS LLC,,,CENTRE STREET,BET: READE & PEARL STREET,NEW YORK,NY,10016,2125327800,Manhattan,1.0,105.0,2.0,1018159,1008820085,,,Device Name(s):  ZIP LINE,-73.98464114127226,40.74253360894918,"(40.74253360894918, -73.98464114127226)"
2034024-DCA,Business,2016-04-10,Inactive,2016-03-07,Amusement Device Temporary,WONDERLAND MIDWAY CORP.,,1755,WATSON AVE,,BRONX,NY,10472,7189289920,Bronx,2.0,,,,,,,"Device Name(s):  ROUND UP, CAROUSEL, LOOP-O-PLANE, SLIME BUCKET, TAXI JET, ROCKOUT, JITTERBUG, GEE WHIZ, HAMPTON, EXPO WHEEL",,,
2071691-DCA,Business,2021-01-31,Active,2018-05-23,Debt Collection Agency,"JNR ADJUSTMENT COMPANY, INC.",,555,WINDERLEY PL,,MAITLAND,FL,32751,7635192710,Outside NYC,,,,,,,,,,,
1309754-DCA,Business,2020-04-30,Active,2011-06-02,Tow Truck Company,MR. TOM'S TOWING INC.,,1535,128TH ST,,COLLEGE POINT,NY,11356,718-762-5111,Queens,4.0,407.0,19.0,4437978,4040950009,QN23,947.0,"Active Plate Numbers:  7967, 8545, 5552, 8176",-73.84032731301481,40.78455032222864,"(40.78455032222864, -73.84032731301482)"
2023463-DCA,Business,2015-06-21,Inactive,2015-05-28,Amusement Device Temporary,"RIVERA, ROBERT",,6605,79TH PL,,MIDDLE VILLAGE,NY,11379,6462387087,Queens,4.0,405.0,30.0,4071901,4030700032,,,"Device Name(s):  MUSICAL CHAIRS, CAR RIDE",-73.87305953686523,40.7154260595337,"(40.715426059533705, -73.87305953686524)"
2035493-DCA,Business,2021-01-31,Active,2016-04-04,Debt Collection Agency,"OneMain Financial Group, LLC",,605,MUNN RD E,,FORT MILL,SC,29715,8038354765,Outside NYC,,,,,,,,,,,
2070241-DCA,Business,2021-01-31,Active,2018-04-30,Debt Collection Agency,"PatientFi, LLC",,15615,ALTON PKWY,,IRVINE,CA,92618,2137187600,Outside NYC,,,,,,,,,,,
2079650-DCA,Business,2021-01-31,Active,2018-11-02,Debt Collection Agency,GORMAN HELLER ASSOCIATES LLC,,339,HICKSVILLE RD,,BETHPAGE,NY,11714,5163506995,Outside NYC,,,,,,,,,,,
1473155-DCA,Business,2021-01-31,Active,2013-09-12,Debt Collection Agency,ALLIED INTERSTATE LLC,,7525,W CAMPUS RD,,NEW ALBANY,OH,43054,9737531932,Outside NYC,,,,,,,,,,,
1453573-DCA,Business,2019-01-31,Inactive,2013-01-10,Debt Collection Agency,"PIONEER CREDIT RECOVERY, INC.",,4501,N SUPERIOR DR,,MUNCIE,IN,47303,866-372-6840,Outside NYC,,,,,,,,,,,
2081380-DCA,Business,2021-01-31,Active,2019-01-15,Debt Collection Agency,"CREDIT MANAGEMENT CONTROL, INC.",,1263,MAIN ST,,GREEN BAY,WI,54302,2625426279,Outside NYC,,,,,,,,,,,
2043838-DCA,Business,2021-01-31,Inactive,2016-09-19,Debt Collection Agency,FREEDOM MORTGAGE CORPORATION,CHL MORTGAGE,3,EXECUTIVE CAMPUS,,CHERRY HILL,NJ,08002,8002203333,Outside NYC,,,,,,,,,,,
2088870-DCA,Business,2019-08-17,Inactive,2019-07-30,Amusement Device Temporary,IDEKO PRODUCTIONS LLC,,,CENTRE STREET,BET: READE & PEARL STREET,NEW YORK,NY,10016,2125327800,Manhattan,1.0,,,,,,,Device Name(s):  ZIPLINE,,,
2037941-DCA,Business,2021-01-31,Active,2016-05-20,Debt Collection Agency,TCM FUNDING CORP.,Account Management Group,600,BROADHOLLOW RD,,MELVILLE,NY,11747,,Outside NYC,,,,,,,,,,,
0850093-DCA,Business,2020-04-30,Active,2012-02-10,Tow Truck Company,"BREEN BROS. TOWING, INC.",,211,VETERANS RD W,,STATEN ISLAND,NY,10309,7189799084,Staten Island,5.0,503.0,51.0,5086598,5070670161,SI32,20801.0,"Active Plate Numbers:  6974, 7301, 8410, 6896",-74.21439434563915,40.554638083274455,"(40.55463808327445, -74.21439434563914)"
1474729-DCA,Business,2021-01-31,Active,2013-10-03,Debt Collection Agency,FREEDOM MORTGAGE CORPORATION,,10500,KINCAID DR,,FISHERS,IN,46037,8002203333,Outside NYC,,,,,,,,,,,
2075209-DCA,Business,2021-01-31,Active,2018-07-09,Debt Collection Agency,Bergen Lawyer Service LLC,,605,BROAD AVE,,RIDGEFIELD,NJ,07657,6098379858,Outside NYC,,,,,,,,,,,
2048141-DCA,Business,2021-01-31,Active,2017-02-07,Debt Collection Agency,"Enhanced Recovery Company, LLC",Enhanced Resource Centers; ERC,1912,MEMORIAL DR,,WAYCROSS,GA,31501,9046802591,Outside NYC,,,,,,,,,,,
2087966-DCA,Business,2021-01-31,Active,2019-07-05,Debt Collection Agency,"Zwicker & Associates, P.C.",,14055,RIVEREDGE DR,,TAMPA,FL,33637,9789841044,Outside NYC,,,,,,,,,,,
2088973-DCA,Business,2019-08-18,Inactive,2019-08-01,Amusement Device Temporary,WONDERLAND MIDWAY CORP.,,,177TH & BAISLEY BLVD,PARK ZONE 1 & 2,JAMAICA,NY,11434,7189289920,Queens,4.0,412.0,27.0,4268835,4124060180,,,"Device Name(s):  EXPO WHEEL, ROUND UP, ALIEN, BUMPER CARS, SAMBA BALLOONS, ALI-BABBA, CAROUSEL, TEA CUP, HAPPY SWING, BEACH PARTY, JUMPIN STAR, TAXI JET",-73.76845544563292,40.68628385486684,"(40.68628385486684, -73.76845544563292)"
2054383-DCA,Business,2020-04-30,Active,2017-06-13,Tow Truck Company,A&R COLLISION SPECIALISTS INC,,5978,54TH AVE,,MASPETH,NY,11378,7182055111,Queens,4.0,402.0,30.0,4437520,4026560086,QN99,229.0,Active Plate Numbers:  6619,-73.90652348009894,40.728915652239095,"(40.72891565223909, -73.90652348009894)"
2020084-DCA,Business,2020-09-30,Inactive,2015-03-27,Newsstand,"YOUSSEF, MOHAMED",,S/E/C,COLUMBUS AVENUE,WEST 60 STREET,NEW YORK,NY,10023,9292450453,Manhattan,1.0,107.0,3.0,,,,,,-73.98431353078193,40.76984926945831,"(40.769849269458305, -73.98431353078193)"
2087170-DCA,Business,2019-08-20,Inactive,2019-06-13,Pool or Billiard Room,BILLARD BALLS MANAGEMENT LLC,,54,W 21ST ST,,NEW YORK,NY,10010,2129890096,Manhattan,1.0,105.0,3.0,1015512,1008220070,MN13,54.0,,-73.99222331618223,40.74097535198318,"(40.74097535198318, -73.99222331618223)"
1333705-DCA,Business,2019-11-01,Active,2012-08-28,Pedicab Business,"GLADSTONE, JAYSON",,1933,RODNEY DR,,LOS ANGELES,CA,90027,6462620939,Outside NYC,,106.0,4.0,1020204,1009170017,,,Active Sticker Numbers:  1902,,,
2058504-DCA,Business,2019-01-31,Inactive,2017-09-21,Debt Collection Agency,"DIVERSIFIED CONSULTANTS, INC.",,7575,SW MOHAWK ST,,TUALATIN,OR,97062,904-247-5500,Outside NYC,,,,,,,,,,,
2019932-DCA,Business,2021-01-31,Active,2015-03-24,Debt Collection Agency,"BLOCK CAPITAL, LLC",,89,PROVIDENCE HWY,,WESTWOOD,MA,02090,9175328093,Outside NYC,,,,,,,,,,,
2057557-DCA,Business,2021-03-31,Active,2017-08-28,Parking Lot,IMPRESSIVE PARKING LLC,,3119,NEWTOWN AVE,,ASTORIA,NY,11102,5164340728,Queens,4.0,401.0,22.0,4539970,4006190014,QN71,71.0,"Vehicle Spaces: 59, Bicycle Spaces: 6",-73.92062463615646,40.767437815899136,"(40.767437815899136, -73.92062463615646)"
2035255-DCA,Business,2021-07-31,Inactive,2016-03-30,Secondhand Dealer - Auto,KAOTIC CYCLES INC,KAOTIC AUTO PARTS & MOTORCYCLE REPAIR,1934,PITKIN AVE,,BROOKLYN,NY,11207,7184951774,Brooklyn,3.0,305.0,42.0,3083912,3037320010,BK85,1144.0,,-73.90128732186017,40.67108176641611,"(40.67108176641611, -73.90128732186017)"
2003762-DCA,Business,2021-01-31,Active,2014-02-21,Debt Collection Agency,Brightwater Capital LLC,,850,CONCOURSE PKWY S,,MAITLAND,FL,32751,8662336813,Outside NYC,,,,,,,,,,,
1428231-DCA,Business,2021-01-31,Active,2012-05-07,Debt Collection Agency,"PAYMENT RESOLUTION SERVICES, LLC",,1009,WINDCROSS CT,,FRANKLIN,TN,37067,8003255340,Outside NYC,,,,,,,,,,,
1365549-DCA,Business,2021-01-31,Active,2012-01-17,Debt Collection Agency,"ADVANCED CALL CENTER TECHNOLOGIES, LLC",,2238,E FAIRVIEW AVE,,JOHNSON CITY,TN,37601,435-787-8435,Outside NYC,,,,,,,,,,,
2025365-DCA,Business,2021-01-31,Active,2015-07-07,Debt Collection Agency,"TRIFERA, LLC",,2003,WESTERN AVE,,SEATTLE,WA,98121,8778128837,Outside NYC,,,,,,,,,,,
2022555-DCA,Business,2021-01-31,Active,2015-05-11,Debt Collection Agency,"REVENUE SYSTEMS, INC.","REVENUE SYSTEMS, INC.",2196,MAIN ST,,DUNEDIN,FL,34698,7277120150,Outside NYC,,,,,,,,,,,
2071390-DCA,Business,2021-01-31,Active,2018-05-17,Debt Collection Agency,"SOURCEPOINT, INC.",,ETA TECH PARK,"BLOCK 4, #3",GANDHI KANCHIPURAM DISTRICT NAVALUR,CHENNAI,INDIA,60310,855-763-6350,Outside NYC,,,,,,,,,,,
1424292-DCA,Business,2021-03-15,Active,2012-03-20,Dealer In Products,"ALL COUNTY ORTHOTICS AND PROSTHETICS, INC.",,1055,STEWART AVE,,BETHPAGE,NY,11714,5163497588,Outside NYC,,,,,,,,,,,
1366048-DCA,Business,2021-03-15,Active,2011-03-25,Dealer In Products,MARK E. GOLDBERG PROSTHETICS & ORTHOTIC LABS OF L.I. LTD,,9,TECHNOLOGY DR,,EAST SETAUKET,NY,11733,6316896606,Outside NYC,,,,,,,,,,,
1419938-DCA,Business,2021-01-31,Active,2012-02-17,Debt Collection Agency,"PIONEER CREDIT RECOVERY, INC.",,325,DANIEL ZENKER DR,,HORSEHEADS,NY,14845,866-372-6840,Outside NYC,,,,,,,,,,,
2088093-DCA,Business,2021-01-31,Active,2019-07-10,Debt Collection Agency,"Credit Control, LLC","Credit Control & Collections, LLC",5757,PHANTOM DR,,HAZELWOOD,MO,63042,8009151016,Outside NYC,,,,,,,,,,,
2070129-DCA,Business,2021-03-15,Active,2018-04-27,Dealer In Products,AVA CARE SUPPLY INC,,4,E VALLEY STREAM BLVD,,VALLEY STREAM,NY,11580,5165967202,Outside NYC,,,,,,,,,,,
2072520-DCA,Business,2021-01-31,Active,2018-06-04,Debt Collection Agency,"RAS LAVRAR, LLC",,900,MERCHANTS CONCOURSE,,WESTBURY,NY,11590,5616130067,Outside NYC,,,,,,,,,,,
1331468-DCA,Business,2020-04-30,Active,2012-05-17,Tow Truck Company,ROBBIES TOWING INC.,,444,PENINSULA BLVD,,HEMPSTEAD,NY,11550,9174401706,Outside NYC,,410.0,32.0,4190844,4091580008,,,Active Plate Numbers:  6163,,,
2026051-DCA,Business,2019-01-31,Inactive,2015-07-23,Debt Collection Agency,"FIRST NATIONAL COLLECTION BUREAU, INC.",,610,WALTHAM WAY,,MCCARRAN,NV,89434,7758293790,Outside NYC,,,,,,,,,,,
2071386-DCA,Business,2021-01-31,Active,2018-05-17,Debt Collection Agency,"SOURCEPOINT, INC.",,FL 4 TOWER 5A&B,PRITECH II,SEZ-ECOSPACE PARK SARAJAPURA OUTER RING RD,VARTHUR HOBLI,BANGALORE,56010,855-763-6350,Outside NYC,,,,,,,,,,,
1411260-DCA,Business,2019-01-31,Inactive,2011-10-21,Debt Collection Agency,TH TRS CORP.,,601,CARLSON PKWY,,MINNETONKA,MN,55305,6126292500,Outside NYC,,,,,,,,,,,
1460796-DCA,Business,2021-01-31,Active,2013-03-27,Debt Collection Agency,"CANEEL GROUP, LLC",,59,N LAKEVIEW DR,,GIBBSBORO,NJ,08026,8006326977,Outside NYC,,,,,,,,,,,
1420687-DCA,Business,2021-01-31,Active,2012-02-29,Debt Collection Agency,"VENGROFF WILLIAMS, INC.",,2211,FRUITVILLE RD,,SARASOTA,FL,34237,6317575100,Outside NYC,,,,,,,,,,,
2090072-DCA,Business,2021-01-31,Active,2019-08-29,Debt Collection Agency,SUTHERLAND GLOBAL COLLECTION SERVICES LLC,,3036,KNUTSFORD BLVD,,KINGSTON,JAMAICA WI,,585-354-2157,Outside NYC,,,,,,,,,,,
2038533-DCA,Business,2021-01-31,Active,2016-06-02,Debt Collection Agency,"REAL TIME RESOLUTIONS, INC.",,1951,W CAMELBACK RD,,PHOENIX,AZ,85015,2145996316,Outside NYC,,,,,,,,,,,
2040474-DCA,Business,2019-01-31,Inactive,2016-07-15,Debt Collection Agency,"ARSTRAT, LLC",,1009,WINDCROSS CT,,FRANKLIN,TN,37067,7134147790,Outside NYC,,,,,,,,,,,
2090013-DCA,Business,2021-01-31,Active,2019-08-28,Debt Collection Agency,"JHPDE SPV II, LLC",,5757,PHANTOM DR,,HAZELWOOD,MO,63042,8663826336,Outside NYC,,,,,,,,,,,
2059856-DCA,Business,2021-03-15,Active,2017-10-25,Dealer In Products,MK DME INC,,24506,JERICHO TPKE,,FLORAL PARK,NY,11001,5165198388,Outside NYC,,,,,,,,,,,
2040538-DCA,Business,2019-01-31,Inactive,2016-07-15,Debt Collection Agency,"Global Receivables Solutions, Inc","Global Receivables Solutions, Inc",2703,HIGHWAY 75 N,,SHERMAN,TX,75090,5153314966,Outside NYC,,,,,,,,,,,
1418384-DCA,Business,2021-01-31,Active,2012-01-27,Debt Collection Agency,"ASCENSIONPOINT RECOVERY SERVICES, LLC",,600,HIGHWAY 169 S,,MINNEAPOLIS,MN,55426,763-235-4050,Outside NYC,,,,,,,,,,,
2031675-DCA,Business,2021-01-31,Active,2015-12-24,Debt Collection Agency,SPRINT SPECTRUM L.P.,Sprint,6200,SPRINT PKWY,,OVERLAND PARK,KS,66251,7705874595,Outside NYC,,,,,,,,,,,
2036354-DCA,Business,2021-03-15,Active,2016-04-19,Dealer In Products,ELEVATOR & LIFT DESIGN. INC,,158,HARVARD ST,,HEMPSTEAD,NY,11550,5166123115,Outside NYC,,,,,,,,,,,
2054736-DCA,Business,2021-01-31,Active,2017-06-20,Debt Collection Agency,"TCAR, INC.",TCAR Collection services,727,SARATOGA RD,,BURNT HILLS,NY,12027,,Outside NYC,,,,,,,,,,,
2079520-DCA,Business,2019-01-31,Inactive,2018-10-29,Debt Collection Agency,"DIVERSIFIED CONSULTANTS, INC.",,10550,DEERWOOD PARK BLVD,,JACKSONVILLE,FL,32256,904-247-5500,Outside NYC,,,,,,,,,,,
2058207-DCA,Business,2021-01-31,Active,2017-09-14,Debt Collection Agency,"ADVANCED CALL CENTER TECHNOLOGIES, LLC",,2031,S SPRING VALLEY RD,,JUNCTION CITY,KS,66441,435-787-8435,Outside NYC,,,,,,,,,,,
2017474-DCA,Business,2021-01-31,Active,2015-01-21,Debt Collection Agency,"Edgewater Consulting Group, LLC",Edgewater Financial Services,3920,E FORT LOWELL RD,,TUCSON,AZ,85712,2538357341,Outside NYC,,,,,,,,,,,
2029132-DCA,Business,2021-01-31,Active,2015-10-02,Debt Collection Agency,"United Resource Systems, Inc.",,3501,S TELLER ST,,LAKEWOOD,CO,80235,,Outside NYC,,,,,,,,,,,
2059272-DCA,Business,2021-01-31,Active,2017-10-12,Debt Collection Agency,"CASCADE RECEIVABLES MANAGEMENT, LLC",,14415,N 73RD ST,,SCOTTSDALE,AZ,85260,888-417-1531,Outside NYC,,,,,,,,,,,
2054592-DCA,Business,2021-01-31,Active,2017-06-16,Debt Collection Agency,"SOURCEPOINT, INC.",,2975,CHAD DR,,EUGENE,OR,97408,855-763-6350,Outside NYC,,,,,,,,,,,
2036295-DCA,Business,2019-01-31,Inactive,2016-04-19,Debt Collection Agency,"PERITUS PORTFOLIO SERVICES II, LLC",,433,LAS COLINAS BLVD E,,IRVING,TX,75039,8668315954,Outside NYC,,,,,,,,,,,
1470979-DCA,Business,2021-01-31,Active,2013-08-20,Debt Collection Agency,"ATLANTIC RECOVERY SOLUTIONS, LLC",,33,DODGE RD,,GETZVILLE,NY,14068,716-844-5928,Outside NYC,,,,,,,,,,,
1388408-DCA,Business,2021-01-31,Active,2011-04-19,Debt Collection Agency,"SOURCEPOINT, INC.",,2330,COMMERCE PARK DR NE,,PALM BAY,FL,32905,855-763-6350,Outside NYC,,,,,,,,,,,
2031163-DCA,Business,2018-11-01,Inactive,2015-12-08,Pedicab Business,REYES MADISON,,158,WOODLAND AVE,,NEW ROCHELLE,NY,10805,9172162403,Outside NYC,,,,,,,,Active Sticker Numbers:  2500,,,
2060788-DCA,Business,2021-01-31,Active,2017-11-15,Debt Collection Agency,KONDAUR CAPITAL CORPORATION,,333,S ANITA DR,,ORANGE,CA,92868,888-566-3287,Outside NYC,,,,,,,,,,,
1308892-DCA,Business,2017-01-31,Inactive,2013-01-04,Debt Collection Agency,"GLOBAL RECEIVABLES SOLUTIONS, INC.",,7171,MERCY RD,,OMAHA,NE,68106,830-214-6370,Outside NYC,,,,,,,,,,,
2027376-DCA,Business,2021-01-31,Active,2015-08-20,Debt Collection Agency,"SYNTER RESOURCE GROUP, LLC",,5935,RIVERS AVE,,NORTH CHARLESTON,SC,29406,8437422200,Outside NYC,,,,,,,,,,,
2035598-DCA,Business,2021-01-31,Inactive,2016-04-06,Debt Collection Agency,BAYVIEW LOAN SERVICING LLC,,300,S CRAYCROFT RD,,TUCSON,AZ,85711,8004575105,Outside NYC,,,,,,,,,,,
2046155-DCA,Business,2021-01-31,Active,2016-12-05,Debt Collection Agency,"The Law Offices of Jared P. Turman, PLLC",,1980,BROADCAST PLZ,,MERRICK,NY,11566,,Outside NYC,,,,,,,,,,,
2043937-DCA,Business,2021-01-31,Active,2016-09-20,Debt Collection Agency,"MERIDIAN FINANCIAL MANAGEMENT, INC.",,251,NAJOLES RD,251 NAJOLES ROAD SUITE A,MILLERSVILLE,MD,21108,,Outside NYC,,,,,,,,,,,
2081313-DCA,Business,2021-01-31,Active,2019-01-11,Debt Collection Agency,"Rausch, Sturm, Israel, Enerson & Hornik LLP",,250,N SUNNY SLOPE RD,,BROOKFIELD,WI,53005,2627965604,Outside NYC,,,,,,,,,,,
2063923-DCA,Business,2021-01-31,Active,2017-12-26,Debt Collection Agency,"Collecto, Inc.",EOS CCA,75,VALLEY OAK DR,,SOMERSET,KY,42503,708-675-4774,Outside NYC,,,,,,,,,,,
2056596-DCA,Business,2021-03-15,Active,2017-08-03,Dealer In Products,ADVANCED MEDICAL SUPPLIES INC.,,2107,N BROADWAY,,SANTA ANA,CA,92706,8009390267,Outside NYC,,,,,,,,,,,
1475015-DCA,Business,2019-01-31,Inactive,2013-10-08,Debt Collection Agency,"R.M. GALICIA, INC.",PROGRESSIVE MANAGEMENT SYSTEMS,6275,MCLEOD DR,,LAS VEGAS,NV,89120,800257482,Outside NYC,,,,,,,,,,,
2010465-DCA,Business,2021-03-15,Active,2014-07-08,Dealer In Products,"SURGICAL SOCK SHOP, INC.",Surgical Shop,27,ORCHARD ST,,MONSEY,NY,10952,,Outside NYC,,,,,,,,,,,
2005813-DCA,Business,2021-01-31,Active,2014-04-07,Debt Collection Agency,NATIONAL MANAGEMENT RECOVERY CORP.,,5571,N UNIVERSITY DR,,CORAL SPRINGS,FL,33067,954-255-7010,Outside NYC,,,,,,,,,,,
2027432-DCA,Business,2021-01-31,Active,2015-08-21,Debt Collection Agency,Penn Credit Corporation,,100,SCENERY DR,,STATE COLLEGE,PA,16801,7172387124,Outside NYC,,,,,,,,,,,
2069797-DCA,Business,2020-03-15,Active,2018-04-20,Amusement Device Portable,BILLMAR AMUSEMENTS NY PARTY WORKS INC,NY PARTYWORKS,45,W JEFRYN BLVD,,DEER PARK,NY,11729,6315011414,Outside NYC,,,,,,,,Device Name: 3 RING CIRCUS,,,
2034595-DCA,Business,2020-03-15,Active,2016-03-17,Amusement Device Portable,LIFETIME VENDING & AMUSEMENTS INC.,,4410,AUSTIN BLVD,,ISLAND PARK,NY,11558,5166702294,Outside NYC,,,,,,,,Device Name: 15 X 15 BOUNCE,,,
